strain,date
hMpxV/Philippines/RITM-002/2022,2022.621918
hMpxV/Philippines/RITM-007/2023,2023.926027
hMpxV/Philippines/RITM-010/2024,2024.601093
hMpxV/Philippines/RITM-011/2024,2024.639344
hMpxV/Philippines/RITM-028/2024,2024.696721
hMpxV/Singapore/CDC-01/2019,2019.347945
hMpxV/Singapore/NPHL-0001/2022,2022.468493
hMpxV/Singapore/NPHL-0005/2022,2022.528767
hMpxV/Singapore/NPHL-0008/2022,2022.558904
hMpxV/Singapore/NPHL-0011/2022,2022.583562
hMpxV/Thailand/CU-220016-FTV/2022,2022.539726
hMpxV/Thailand/NIC-251/2022,2022.567123
hMpxV/Thailand/CU-ID220059-FTL/2022,2022.567123
hMpxV/Thailand/CU-ID220059-TSV/2022,2022.567123
hMpxV/Thailand/CU-ID220097-LRV/2022,2022.586301
hMpxV/Thailand/CU-ID220101-LRV/2022,2022.583562
hMpxV/Thailand/CU-ID220101-TSV/2022,2022.583562
hMpxV/Thailand/CU-ID220103-FLV/2022,2022.586301
hMpxV/Thailand/CU-ID220121-PSV/2022,2022.616438
hMpxV/Thailand/CU-ID220121-SSV/2022,2022.616438
hMpxV/Thailand/CU-ID220131-LRV/2022,2022.624658
hMpxV/Thailand/MU-V241/2023,2023.665753
hMpxV/Thailand/KCMH-295/2023,2023.50137
hMpxV/Thailand/KCMH-455/2023,2023.915068
hMpxV/Thailand/KCMH-294/2023,2023.50137
hMpxV/Thailand/KCMH-459/2023,2023.945205
hMpxV/Thailand/KCMH-465/2023,2023.989041
hMpxV/Thailand/KCMH-026/2023,2023.358904
hMpxV/Thailand/KCMH-296/2023,2023.50137
hMpxV/Thailand/KCMH-283/2023,2023.487671
hMpxV/Thailand/KCMH-462/2023,2023.972603
hMpxV/Indonesia/JK-NIHRD-MP0024/2022,2022.608219
hMpxV/Indonesia/JK-NIHRD-MP005/2023,2023.720548
hMpxV/Indonesia/JK-NIHRD-MP010/2023,2023.789041
hMpxV/Indonesia/JK-NIHRD-MP008/2023,2023.753425
hMpxV/Indonesia/JK-NIHRD-MP012/2023,2023.786301
hMpxV/Indonesia/JK-NIHRD-MP015/2023,2023.767123
hMpxV/Indonesia/JK-NIHRD-MP017/2023,2023.756164
hMpxV/Indonesia/JK-NIHRD-MP023/2023,2023.808219
hMpxV/Indonesia/JK-NIHRD-MP159/2023,2023.830137
hMpxV/Indonesia/BT-NIHRD-MP059/2023,2023.789041
hMpxV/Indonesia/JK-NIHRD-MP025/2023,2023.805479
hMpxV/Indonesia/JK-NIHRD-MP055/2023,2023.808219
hMpxV/Indonesia/JK-NIHRD-MP081/2023,2023.8
hMpxV/Indonesia/JK-NIHRD-MP022/2023,2023.79726
hMpxV/Indonesia/JK-NIHRD-MP036/2023,2023.789041
hMpxV/Indonesia/JK-NIHRD-MP039/2023,2023.8
hMpxV/Indonesia/JK-NIHRD-MP061/2023,2023.794521
hMpxV/Indonesia/JK-NIHRD-MP085/2023,2023.824658
hMpxV/Indonesia/JK-NIHRD-MP035/2023,2023.79726
hMpxV/Indonesia/JK-NIHRD-MP044/2023,2023.775342
hMpxV/Indonesia/JK-NIHRD-MP080/2023,2023.8
hMpxV/Indonesia/JK-NIHRD-MP088/2023,2023.821918
hMpxV/Indonesia/JB-NIHRD-MP041/2023,2023.783562
hMpxV/Indonesia/JK-NIHRD-MP109/2023,2023.821918
hMpxV/Indonesia/JK-NIHRD-MP114/2023,2023.808219
hMpxV/Indonesia/JK-NIHRD-MP118/2023,2023.830137
hMpxV/Indonesia/JK-NIHRD-MP147/2023,2023.775342
hMpxV/Indonesia/JK-NIHRD-MP156/2023,2023.767123
hMpxV/Indonesia/JK-NIHRD-MP177/2023,2023.838356
hMpxV/Indonesia/JB-NIHRD-MP205/2023,2023.813699
hMpxV/Indonesia/JK-NIHRD-MP209/2023,2023.824658
hMpxV/Indonesia/JK-NIHRD-MP218/2023,2023.857534
hMpxV/Indonesia/JK-NIHRD-MP252/2023,2023.865753
hMpxV/Indonesia/BT-NIHRD-MP231/2023,2023.865753
hMpxV/Indonesia/JK-NIHRD-MP225/2023,2023.857534
hMpxV/Indonesia/JK-NIHRD-MP235/2023,2023.846575
hMpxV/Indonesia/JK-NIHRD-MP246/2023,2023.879452
hMpxV/Indonesia/JB-NIHRD-MP254/2023,2023.865753
hMpxV/Indonesia/JB-NIHRD-MP255/2023,2023.863014
hMpxV/Indonesia/JK-NIHRD-MP276/2023,2023.893151
hMpxV/Indonesia/JK-NIHRD-MP279/2023,2023.89589
hMpxV/Indonesia/JK-Biokes-MP239/2023,2023.871233
hMpxV/Indonesia/JB-Biokes-MP294/2023,2023.912329
hMpxV/Indonesia/JB-Biokes-MP295/2023,2023.926027
hMpxV/Indonesia/JK-Biokes-MP302/2023,2023.942466
hMpxV/Indonesia/BT-Biokes-MP303/2023,2023.920548
hMpxV/Indonesia/JK-Biokes-MP310/2023,2023.920548
hMpxV/Indonesia/JK-Biokes-MP311/2023,2023.917808
hMpxV/Indonesia/JK-Biokes-MP010/2024,2024.043716
hMpxV/Indonesia/JK-Biokes-MP011/2024,2024.032787
hMpxV/Indonesia/JK-Biokes-MP016/2024,2024.090164
hMpxV/Indonesia/JK-Biokes-MP018/2024,2024.057377
hMpxV/Indonesia/JK-Biokes-MP020/2024,2024.087432
hMpxV/Indonesia/JK-Biokes-MP029/2024,2024.068306
